condition,variant,digit,aggregation_unit,pair_count,unit_count,target_pcc_mean,target_pcc_sample_std,target_pcc_standard_error,target_pcc_ci95_low,target_pcc_ci95_high,full_canvas_pcc_mean,psnr_mean,ssim_mean
final_epoch_known,R2,4,diffuser,19640,20,0.8696248948,0.0067245108,0.0015036463,0.8666777480,0.8725720416,0.9426817199,24.1560919306,0.9069880324
final_epoch_known,R2,5,diffuser,17840,20,0.8830707616,0.0065413200,0.0014626836,0.8802039017,0.8859376214,0.9458671036,24.3662816400,0.9088204269
final_epoch_known,R2,6,diffuser,19160,20,0.8718029738,0.0069482289,0.0015536712,0.8687577783,0.8748481694,0.9465891882,23.9615095248,0.9073236911
final_epoch_known,R2,7,diffuser,20560,20,0.8932843447,0.0095921858,0.0021448779,0.8890803840,0.8974883055,0.9515383055,25.1883168391,0.9173328076
final_epoch_known,R2,8,diffuser,19480,20,0.8412818274,0.0109300493,0.0024440333,0.8364915221,0.8460721327,0.9356378911,22.9393496321,0.8976671864
final_epoch_known,R2,9,diffuser,20180,20,0.8731912248,0.0085146976,0.0019039443,0.8694594941,0.8769229556,0.9458798701,24.3709595892,0.9113518337
seed_disjoint_unseen,R0,0,diffuser,19600,20,0.7644311694,0.0152602834,0.0034123031,0.7577430553,0.7711192835,0.9065953872,14.0740387614,0.8488778699
seed_disjoint_unseen,R0,1,diffuser,22700,20,0.7918389234,0.0221931371,0.0049625363,0.7821123522,0.8015654946,0.9167439180,17.5651262905,0.9245297109
seed_disjoint_unseen,R0,2,diffuser,20640,20,0.7208504801,0.0171567480,0.0038363655,0.7133312037,0.7283697564,0.8849873299,14.6510995270,0.8603633327
seed_disjoint_unseen,R0,3,diffuser,20200,20,0.7393280983,0.0148159456,0.0033129461,0.7328347239,0.7458214728,0.8909042915,14.8925193909,0.8645767194
seed_disjoint_unseen,R0,4,diffuser,19640,20,0.7193192171,0.0195543236,0.0043724797,0.7107491569,0.7278892773,0.8838755264,15.5108502592,0.8787340121
seed_disjoint_unseen,R0,5,diffuser,17840,20,0.7226555470,0.0131822199,0.0029476340,0.7168781844,0.7284329096,0.8834126862,15.2567322550,0.8683357803
seed_disjoint_unseen,R0,6,diffuser,19160,20,0.6926705848,0.0193665740,0.0043304976,0.6841828095,0.7011583601,0.8788023163,14.8279599130,0.8670678465
seed_disjoint_unseen,R0,7,diffuser,20560,20,0.7472867176,0.0182269820,0.0040756771,0.7392983905,0.7552750447,0.8961370728,15.8103790674,0.8875148678
seed_disjoint_unseen,R0,8,diffuser,19480,20,0.6692336342,0.0173513386,0.0038798773,0.6616290748,0.6768381937,0.8717773212,14.5492983533,0.8596084916
